DATE_TIME,Motion
2019-05-30 09:15:00,3
2019-05-30 09:30:00,5
2019-05-30 09:45:00,8
2019-05-30 10:00:00,25
2019-05-30 10:15:00,46
2019-05-30 10:30:00,21
2019-05-30 10:45:00,17
2019-05-30 11:00:00,8
2019-05-30 11:15:00,20
2019-05-30 11:30:00,6
2019-05-30 11:45:00,18
2019-05-30 12:00:00,16
2019-05-30 12:15:00,34
2019-05-30 12:30:00,16
2019-05-30 12:45:00,21
2019-05-30 13:00:00,15
2019-05-30 13:15:00,18
2019-05-30 13:30:00,53
2019-05-30 13:45:00,19
2019-05-30 14:00:00,14
2019-05-30 14:15:00,12
2019-05-30 14:30:00,9
2019-05-30 14:45:00,23
2019-05-30 15:00:00,50
2019-05-30 15:15:00,41
2019-05-30 15:30:00,21
2019-05-30 15:45:00,18
2019-05-30 16:00:00,27
2019-05-30 16:15:00,21
2019-05-30 16:30:00,9
2019-05-30 16:45:00,12
2019-05-30 17:00:00,37
2019-05-30 17:15:00,81
2019-05-30 17:30:00,40
2019-05-30 17:45:00,21
2019-05-30 18:00:00,10
2019-05-30 18:15:00,20
2019-05-30 18:30:00,11
2019-05-30 18:45:00,11
2019-05-30 19:00:00,23
2019-05-30 19:15:00,14
2019-05-30 19:30:00,23
2019-05-30 19:45:00,1
2019-05-30 20:00:00,45
2019-05-30 20:15:00,18
2019-05-30 20:30:00,25
2019-05-30 20:45:00,12
2019-05-30 21:00:00,18
2019-05-30 21:15:00,19
2019-05-30 21:30:00,22
2019-05-30 21:45:00,29
2019-05-30 22:00:00,4
2019-05-30 22:15:00,136
2019-05-30 22:30:00,140
2019-05-30 22:45:00,123
2019-05-30 23:00:00,140
2019-05-30 23:15:00,138
2019-05-30 23:30:00,151
2019-05-30 23:45:00,65
2019-05-31 00:00:00,0
2019-05-31 00:15:00,0
2019-05-31 00:30:00,0
2019-05-31 00:45:00,0
2019-05-31 01:00:00,0
2019-05-31 01:15:00,0
2019-05-31 01:30:00,0
2019-05-31 01:45:00,0
2019-05-31 02:00:00,0
2019-05-31 02:15:00,0
2019-05-31 02:30:00,0
2019-05-31 02:45:00,0
2019-05-31 03:00:00,0
2019-05-31 03:15:00,0
2019-05-31 03:30:00,0
2019-05-31 03:45:00,0
2019-05-31 04:00:00,0
2019-05-31 04:15:00,0
2019-05-31 04:30:00,0
2019-05-31 04:45:00,0
2019-05-31 05:00:00,0
2019-05-31 05:15:00,0
2019-05-31 05:30:00,0
2019-05-31 05:45:00,0
2019-05-31 06:00:00,0
2019-05-31 06:15:00,0
2019-05-31 06:30:00,0
2019-05-31 06:45:00,0
2019-05-31 07:00:00,0
2019-05-31 07:15:00,0
2019-05-31 07:30:00,0
2019-05-31 07:45:00,0
2019-05-31 08:00:00,0
2019-05-31 08:15:00,0
2019-05-31 08:30:00,0
2019-05-31 08:45:00,0
2019-05-31 09:00:00,0
2019-05-31 09:15:00,0
2019-05-31 09:30:00,0
2019-05-31 09:45:00,0
2019-05-31 10:00:00,0
2019-05-31 10:15:00,0
2019-05-31 10:30:00,0
2019-05-31 10:45:00,0
2019-05-31 11:00:00,0
2019-05-31 11:15:00,0
2019-05-31 11:30:00,0
2019-05-31 11:45:00,0
2019-05-31 12:00:00,0
2019-05-31 12:15:00,0
2019-05-31 12:30:00,0
2019-05-31 12:45:00,0
2019-05-31 13:00:00,0
2019-05-31 13:15:00,0
2019-05-31 13:30:00,0
2019-05-31 13:45:00,0
2019-05-31 14:00:00,0
2019-05-31 14:15:00,0
2019-05-31 14:30:00,0
2019-05-31 14:45:00,0
2019-05-31 15:00:00,0
2019-05-31 15:15:00,0
2019-05-31 15:30:00,0
2019-05-31 15:45:00,0
2019-05-31 16:00:00,0
2019-05-31 16:15:00,0
2019-05-31 16:30:00,0
2019-05-31 16:45:00,0
2019-05-31 17:00:00,0
2019-05-31 17:15:00,0
2019-05-31 17:30:00,0
2019-05-31 17:45:00,0
2019-05-31 18:00:00,0
2019-05-31 18:15:00,0
2019-05-31 18:30:00,0
2019-05-31 18:45:00,0
2019-05-31 19:00:00,0
2019-05-31 19:15:00,0
2019-05-31 19:30:00,0
2019-05-31 19:45:00,0
2019-05-31 20:00:00,0
2019-05-31 20:15:00,0
2019-05-31 20:30:00,0
2019-05-31 20:45:00,0
2019-05-31 21:00:00,0
2019-05-31 21:15:00,0
2019-05-31 21:30:00,0
2019-05-31 21:45:00,0
2019-05-31 22:00:00,0
2019-05-31 22:15:00,0
2019-05-31 22:30:00,0
2019-05-31 22:45:00,0
2019-05-31 23:00:00,0
